"VcfName","Pop"
"SACE_MAL.variant","19.M"
"SACE_YAA.variant","01.W"
"SACE_YAB.variant","07.M"
"SACE_YAC.variant","13.A"
"SACE_YAD.variant","01.W"
"SACE_YAE.variant","02.A"
"SACE_YAF.variant","01.W4"
"SACE_YAG.variant","07.M"
"SACE_YAK.variant","M3.M"
"SACE_YAL.variant","M3.M"
"SACE_YAM.variant","01.W"
"SACE_YAN.variant","M3.M"
"SACE_YAP.variant","M3.M"
"SACE_YAQ.variant","M3.M"
"SACE_YAR.variant","M3.M"
"SACE_YAT.variant","M3.M"
"SACE_YAU.variant","M3.M"
"SACE_YAV.variant","M3.M"
"SACE_YAW.variant","M3.M"
"SACE_YAX.variant","unk"
"SACE_YAY.variant","01.W2"
"SACE_YAZ.variant","01.W2"
"SACE_YBA.variant","01.W2"
"SACE_YBB.variant","01.W2"
"SACE_YBE.variant","01.W2"
"SACE_YBF.variant","01.W2"
"SACE_YBG.variant","01.W2"
"SACE_YBH.variant","01.W2"
"SACE_YBJ.variant","M3.M"
"SACE_YBK.variant","M3.M"
"SACE_YBL.variant","M3.M"
"SACE_YBM.variant","M3.M"
"SACE_YBN.variant","01.W"
"SACE_YBO.variant","01.W"
"SACE_YBP.variant","13.A"
"SACE_YBQ.variant","unk"
"SACE_YBR.variant","02.A"
"SACE_YBS.variant","23.N"
"SACE_YBT.variant","M3.M"
"SACE_YBU.variant","M3.M"
"SACE_YBV.variant","unk"
"SACE_YBW.variant","unk"
"SACE_YBX.variant","01.W"
"SACE_YBY.variant","01.W"
"SACE_YBZ.variant","M3.M"
"SACE_YCA.variant","01.W"
"SACE_YCB.variant","unk"
"SACE_YCC.variant","M2.M"
"SACE_YCD.variant","01.W"
"SACE_YCE.variant","M3.M"
"SACE_YCF.variant","M2.M"
"SACE_YCG.variant","unk"
"SACE_YCH.variant","M3.M"
"SACE_YCI.variant","M1.M"
"SACE_YCJ.variant","26.A"
"SACE_YCK.variant","26.A"
"SACE_YCL.variant","unk"
"SACE_YCM.variant","24.A"
"SACE_YCN.variant","unk"
"SACE_YCO.variant","unk"
"SACE_YCP.variant","01.W"
"SACE_YCQ.variant","01.W"
"SACE_YCR.variant","18.F"
"SACE_YCS.variant","M3.M"
"SACE_YCT.variant","M2.M"
"SACE_YCU.variant","23.N"
"SACE_YCV.variant","13.A"
"SACE_YCW.variant","unk"
"SACE_YCX.variant","unk"
"SACE_YCY.variant","19.M"
"SACE_YCZ.variant","M2.M"
"SACE_YDA.variant","26.A"
"SACE_YDB.variant","unk"
"SACE_YDC.variant","01.W"
"SACE_YDD.variant","07.M"
"SACE_YDE.variant","24.A"
"SACE_YDF.variant","01.W"
"SACE_YDG.variant","M3.M"
"SACE_YDH.variant","M3.M"
"SACE_YDI.variant","unk"
"SACE_YDJ.variant","01.W"
"SACE_YDK.variant","26.A"
"SACE_YDL.variant","M3.M"
"SACE_YDM.variant","02.A"
"SACE_YDN.variant","M3.M"
"SACE_YDO.variant","01.W"
"Jean-Talon.variant2","Jean-Talon"
"10560-6B.asm.ASM.DIS.variant","Lab"
"310.SRA.DIS.variant","Med/oak"
"4124-S60.asm.ASM.DIS.variant","Asia/sake"
"A.1007.SRA.DIS.variant","Ale 2"
"A.1187.SRA.DIS.variant","Ale 1"
"A.1728.SRA.DIS.variant","Ale 1"
"A.1945.SRA.DIS.variant","Ale 1"
